id_dedl,original,upper,missions,unsep,rmstr,split
,SInCohMap_S2_L1C_T29SQB,SINCOHMAP_S2_L1C_T29SQB,SINCOHMAP_SENTINEL2_L1C_T29SQB,SINCOHMAP SENTINEL2 L1C T29SQB,SINCOHMAP SENTINEL2 L1C T29SQB,"['SINCOHMAP', 'SENTINEL2', 'L1C', 'T29SQB']"
,ST_GRIDDED_TIME_SERIES_PRECIPITATION,ST_GRIDDED_TIME_SERIES_PRECIPITATION,ST_GRIDDED_TIME_SERIES_PRECIPITATION,ST GRIDDED TIME SERIES PRECIPITATION,ST GRIDDED TIME SERIES PRECIPITATION,"['ST', 'GRIDDED', 'TIME', 'SERIES', 'PRECIPITATION']"
,ST_GRIDDED_TIME_SERIES_TEMPERATURE,ST_GRIDDED_TIME_SERIES_TEMPERATURE,ST_GRIDDED_TIME_SERIES_TEMPERATURE,ST GRIDDED TIME SERIES TEMPERATURE,ST GRIDDED TIME SERIES TEMPERATURE,"['ST', 'GRIDDED', 'TIME', 'SERIES', 'TEMPERATURE']"
,ST_MONTHLY_GRIDDED_CLIMATOLOGIES_PRECIPITATION,ST_MONTHLY_GRIDDED_CLIMATOLOGIES_PRECIPITATION,ST_MONTHLY_GRIDDED_CLIMATOLOGIES_PRECIPITATION,ST MONTHLY GRIDDED CLIMATOLOGIES PRECIPITATION,ST MONTHLY GRIDDED CLIMATOLOGIES PRECIPITATION,"['ST', 'MONTHLY', 'GRIDDED', 'CLIMATOLOGIES', 'PRECIPITATION']"
,ST_MONTHLY_GRIDDED_CLIMATOLOGIES_TEMPERATURE,ST_MONTHLY_GRIDDED_CLIMATOLOGIES_TEMPERATURE,ST_MONTHLY_GRIDDED_CLIMATOLOGIES_TEMPERATURE,ST MONTHLY GRIDDED CLIMATOLOGIES TEMPERATURE,ST MONTHLY GRIDDED CLIMATOLOGIES TEMPERATURE,"['ST', 'MONTHLY', 'GRIDDED', 'CLIMATOLOGIES', 'TEMPERATURE']"
,UAV_Transparent_Reflectance_20150507,UAV_TRANSPARENT_REFLECTANCE_20150507,UAV_TRANSPARENT_REFLECTANCE_20150507,UAV TRANSPARENT REFLECTANCE 20150507,UAV TRANSPARENT REFLECTANCE 20150507,"['UAV', 'TRANSPARENT', 'REFLECTANCE', '20150507']"
,UAV_Transparent_Reflectance_20150821,UAV_TRANSPARENT_REFLECTANCE_20150821,UAV_TRANSPARENT_REFLECTANCE_20150821,UAV TRANSPARENT REFLECTANCE 20150821,UAV TRANSPARENT REFLECTANCE 20150821,"['UAV', 'TRANSPARENT', 'REFLECTANCE', '20150821']"
,UAV_Transparent_Reflectance_20150909,UAV_TRANSPARENT_REFLECTANCE_20150909,UAV_TRANSPARENT_REFLECTANCE_20150909,UAV TRANSPARENT REFLECTANCE 20150909,UAV TRANSPARENT REFLECTANCE 20150909,"['UAV', 'TRANSPARENT', 'REFLECTANCE', '20150909']"
,UAV_Transparent_Reflectance_20190904,UAV_TRANSPARENT_REFLECTANCE_20190904,UAV_TRANSPARENT_REFLECTANCE_20190904,UAV TRANSPARENT REFLECTANCE 20190904,UAV TRANSPARENT REFLECTANCE 20190904,"['UAV', 'TRANSPARENT', 'REFLECTANCE', '20190904']"
,one_band_wms_test_true_full_wrt,ONE_BAND_WMS_TEST_TRUE_FULL_WRT,ONE_BAND_WMS_TEST_TRUE_FULL_WRT,ONE BAND WMS TEST TRUE FULL WRT,ONE BAND WMS TEST TRUE FULL WRT,"['ONE', 'BAND', 'WMS', 'TEST', 'TRUE', 'FULL', 'WRT']"
,openEO_S2_32632_10m_L1C_D22,OPENEO_S2_32632_10M_L1C_D22,OPENEO_SENTINEL2_32632_10M_L1C_D22,OPENEO SENTINEL2 32632 10M L1C D22,OPEN SENTINEL2 32632 10M L1C D22,"['OPEN', 'SENTINEL2', '32632', '10M', 'L1C', 'D22']"
,openEO_S2_32632_10m_L2A_D22,OPENEO_S2_32632_10M_L2A_D22,OPENEO_SENTINEL2_32632_10M_L2A_D22,OPENEO SENTINEL2 32632 10M L2A D22,OPEN SENTINEL2 32632 10M L2A D22,"['OPEN', 'SENTINEL2', '32632', '10M', 'L2A', 'D22']"
,openEO_WUR_Usecase,OPENEO_WUR_USECASE,OPENEO_WUR_USECASE,OPENEO WUR USECASE,OPEN WUR USECASE,"['OPEN', 'WUR', 'USECASE']"
,wms_test,WMS_TEST,WMS_TEST,WMS TEST,WMS TEST,"['WMS', 'TEST']"
,wms_test_true,WMS_TEST_TRUE,WMS_TEST_TRUE,WMS TEST TRUE,WMS TEST TRUE,"['WMS', 'TEST', 'TRUE']"
,wms_test_true_full,WMS_TEST_TRUE_FULL,WMS_TEST_TRUE_FULL,WMS TEST TRUE FULL,WMS TEST TRUE FULL,"['WMS', 'TEST', 'TRUE', 'FULL']"
,wms_test_true_full_wrt,WMS_TEST_TRUE_FULL_WRT,WMS_TEST_TRUE_FULL_WRT,WMS TEST TRUE FULL WRT,WMS TEST TRUE FULL WRT,"['WMS', 'TEST', 'TRUE', 'FULL', 'WRT']"
