id_dedl,original,upper,missions,unsep,rmstr,split
,c52f7b51-c1cf-43e5-9a66-3eea19f6385a,C52F7B51-C1CF-43E5-9A66-3EEA19F6385A,C52F7B51-C1CF-43E5-9A66-3EEA19F6385A,C52F7B51 C1CF 43E5 9A66 3EEA19F6385A,C52F7B51 C1CF 43E5 9A66 3EEA19F6385A,"['C52F7B51', 'C1CF', '43E5', '9A66', '3EEA19F6385A']"
,c59a8b43-15e0-4823-9095-14e8663d8dad,C59A8B43-15E0-4823-9095-14E8663D8DAD,C59A8B43-15E0-4823-9095-14E8663D8DAD,C59A8B43 15E0 4823 9095 14E8663D8DAD,C59A8B43 15E0 4823 9095 14E8663D8DAD,"['C59A8B43', '15E0', '4823', '9095', '14E8663D8DAD']"
,c62bb056-5ac3-4512-b642-7f484175d951,C62BB056-5AC3-4512-B642-7F484175D951,C62BB056-5AC3-4512-B642-7F484175D951,C62BB056 5AC3 4512 B642 7F484175D951,C62BB056 5AC3 4512 B642 7F484175D951,"['C62BB056', '5AC3', '4512', 'B642', '7F484175D951']"
,c7bf34ea-755c-4dbd-85b6-4efc5fd302a2,C7BF34EA-755C-4DBD-85B6-4EFC5FD302A2,C7BF34EA-755C-4DBD-85B6-4EFC5FD302A2,C7BF34EA 755C 4DBD 85B6 4EFC5FD302A2,C7BF34EA 755C 4DBD 85B6 4EFC5FD302A2,"['C7BF34EA', '755C', '4DBD', '85B6', '4EFC5FD302A2']"
,c7cb5abf-0a64-4dff-89f9-da1002e1fd6a,C7CB5ABF-0A64-4DFF-89F9-DA1002E1FD6A,C7CB5ABF-0A64-4DFF-89F9-DA1002E1FD6A,C7CB5ABF 0A64 4DFF 89F9 DA1002E1FD6A,C7CB5ABF 0A64 4DFF 89F9 DA1002E1FD6A,"['C7CB5ABF', '0A64', '4DFF', '89F9', 'DA1002E1FD6A']"
,c816f363-a892-4f62-86d1-0460437bc023,C816F363-A892-4F62-86D1-0460437BC023,C816F363-A892-4F62-86D1-0460437BC023,C816F363 A892 4F62 86D1 0460437BC023,C816F363 A892 4F62 86D1 0460437BC023,"['C816F363', 'A892', '4F62', '86D1', '0460437BC023']"
,c88e743d-e838-49e1-8c80-54f26bcf4ab8,C88E743D-E838-49E1-8C80-54F26BCF4AB8,C88E743D-E838-49E1-8C80-54F26BCF4AB8,C88E743D E838 49E1 8C80 54F26BCF4AB8,C88E743D E838 49E1 8C80 54F26BCF4AB8,"['C88E743D', 'E838', '49E1', '8C80', '54F26BCF4AB8']"
,c89324ef-7729-4477-9f1b-623f5f88eaa1,C89324EF-7729-4477-9F1B-623F5F88EAA1,C89324EF-7729-4477-9F1B-623F5F88EAA1,C89324EF 7729 4477 9F1B 623F5F88EAA1,C89324EF 7729 4477 9F1B 623F5F88EAA1,"['C89324EF', '7729', '4477', '9F1B', '623F5F88EAA1']"
,c8c4144a-8c0e-4686-9422-80dbf86bc0cb,C8C4144A-8C0E-4686-9422-80DBF86BC0CB,C8C4144A-8C0E-4686-9422-80DBF86BC0CB,C8C4144A 8C0E 4686 9422 80DBF86BC0CB,C8C4144A 8C0E 4686 9422 80DBF86BC0CB,"['C8C4144A', '8C0E', '4686', '9422', '80DBF86BC0CB']"
,c8ebe58d-c91d-4a79-a9e4-1b5570708e05,C8EBE58D-C91D-4A79-A9E4-1B5570708E05,C8EBE58D-C91D-4A79-A9E4-1B5570708E05,C8EBE58D C91D 4A79 A9E4 1B5570708E05,C8EBE58D C91D 4A79 A9E4 1B5570708E05,"['C8EBE58D', 'C91D', '4A79', 'A9E4', '1B5570708E05']"
,c952f520-8d71-42c9-b74c-b7eb002f939b,C952F520-8D71-42C9-B74C-B7EB002F939B,C952F520-8D71-42C9-B74C-B7EB002F939B,C952F520 8D71 42C9 B74C B7EB002F939B,C952F520 8D71 42C9 B74C B7EB002F939B,"['C952F520', '8D71', '42C9', 'B74C', 'B7EB002F939B']"
