id_dedl,original,upper,missions,unsep,rmstr,split
,b571fc24-e014-4b51-92b5-aa98aa58237f,B571FC24-E014-4B51-92B5-AA98AA58237F,B571FC24-E014-4B51-92B5-AA98AA58237F,B571FC24 E014 4B51 92B5 AA98AA58237F,B571FC24 E014 4B51 92B5 AA98AA58237F,"['B571FC24', 'E014', '4B51', '92B5', 'AA98AA58237F']"
,b72f483b-3557-4e4d-ab86-4619e61e3d54,B72F483B-3557-4E4D-AB86-4619E61E3D54,B72F483B-3557-4E4D-AB86-4619E61E3D54,B72F483B 3557 4E4D AB86 4619E61E3D54,B72F483B 3557 4E4D AB86 4619E61E3D54,"['B72F483B', '3557', '4E4D', 'AB86', '4619E61E3D54']"
,ba442b6f-b9cb-44f4-8952-a991c314245d,BA442B6F-B9CB-44F4-8952-A991C314245D,BA442B6F-B9CB-44F4-8952-A991C314245D,BA442B6F B9CB 44F4 8952 A991C314245D,BA442B6F B9CB 44F4 8952 A991C314245D,"['BA442B6F', 'B9CB', '44F4', '8952', 'A991C314245D']"
,bb0a8087-07fe-404c-a07d-3ec5c08addae,BB0A8087-07FE-404C-A07D-3EC5C08ADDAE,BB0A8087-07FE-404C-A07D-3EC5C08ADDAE,BB0A8087 07FE 404C A07D 3EC5C08ADDAE,BB0A8087 07FE 404C A07D 3EC5C08ADDAE,"['BB0A8087', '07FE', '404C', 'A07D', '3EC5C08ADDAE']"
,bd5a176b-350e-4d5f-8683-da457637bdcb,BD5A176B-350E-4D5F-8683-DA457637BDCB,BD5A176B-350E-4D5F-8683-DA457637BDCB,BD5A176B 350E 4D5F 8683 DA457637BDCB,BD5A176B 350E 4D5F 8683 DA457637BDCB,"['BD5A176B', '350E', '4D5F', '8683', 'DA457637BDCB']"
,c0635fc4-07d3-4309-9d55-cfd3e6aa788b,C0635FC4-07D3-4309-9D55-CFD3E6AA788B,C0635FC4-07D3-4309-9D55-CFD3E6AA788B,C0635FC4 07D3 4309 9D55 CFD3E6AA788B,C0635FC4 07D3 4309 9D55 CFD3E6AA788B,"['C0635FC4', '07D3', '4309', '9D55', 'CFD3E6AA788B']"
,c12d482f-fe61-4b68-b069-b477070045a4,C12D482F-FE61-4B68-B069-B477070045A4,C12D482F-FE61-4B68-B069-B477070045A4,C12D482F FE61 4B68 B069 B477070045A4,C12D482F FE61 4B68 B069 B477070045A4,"['C12D482F', 'FE61', '4B68', 'B069', 'B477070045A4']"
,c406fba4-f27a-4bc0-8be0-292f398f9936,C406FBA4-F27A-4BC0-8BE0-292F398F9936,C406FBA4-F27A-4BC0-8BE0-292F398F9936,C406FBA4 F27A 4BC0 8BE0 292F398F9936,C406FBA4 F27A 4BC0 8BE0 292F398F9936,"['C406FBA4', 'F27A', '4BC0', '8BE0', '292F398F9936']"
,c4f4c0b6-9c3c-423d-a71b-8bbf29f5057c,C4F4C0B6-9C3C-423D-A71B-8BBF29F5057C,C4F4C0B6-9C3C-423D-A71B-8BBF29F5057C,C4F4C0B6 9C3C 423D A71B 8BBF29F5057C,C4F4C0B6 9C3C 423D A71B 8BBF29F5057C,"['C4F4C0B6', '9C3C', '423D', 'A71B', '8BBF29F5057C']"
,c50df196-e0a1-4743-b1c7-0dbe6f8586d0,C50DF196-E0A1-4743-B1C7-0DBE6F8586D0,C50DF196-E0A1-4743-B1C7-0DBE6F8586D0,C50DF196 E0A1 4743 B1C7 0DBE6F8586D0,C50DF196 E0A1 4743 B1C7 0DBE6F8586D0,"['C50DF196', 'E0A1', '4743', 'B1C7', '0DBE6F8586D0']"
